
"Date","Price","Open","High","Low","Change %"
"Sep 27, 2017","1,090.79","1,097.18","1,100.68","1,090.36","-0.58%"
"Sep 26, 2017","1,097.17","1,106.22","1,108.81","1,097.00","-0.81%"
"Sep 25, 2017","1,106.13","1,085.40","1,107.46","1,082.44","1.87%"
"Sep 22, 2017","1,085.85","1,081.50","1,086.57","1,080.04","0.41%"
"Sep 21, 2017","1,081.39","1,094.02","1,095.80","1,081.11","-1.15%"
"Sep 20, 2017","1,093.95","1,093.53","1,096.59","1,091.23","0.06%"
"Sep 19, 2017","1,093.28","1,093.04","1,094.83","1,088.78","-0.05%"
"Sep 18, 2017","1,093.84","1,104.83","1,107.61","1,093.46","-1.00%"
"Sep 15, 2017","1,104.93","1,115.71","1,119.99","1,103.21","-0.97%"
"Sep 14, 2017","1,115.71","1,112.52","1,116.88","1,109.47","0.27%"
"Sep 13, 2017","1,112.70","1,112.84","1,115.15","1,109.62","-0.04%"
"Sep 12, 2017","1,113.11","1,110.99","1,114.22","1,107.40","0.24%"
"Sep 11, 2017","1,110.45","1,118.53","1,121.23","1,109.55","-0.76%"
"Sep 08, 2017","1,118.99","1,122.17","1,124.54","1,117.12","-0.28%"
"Sep 07, 2017","1,122.18","1,119.63","1,124.88","1,113.97","0.24%"
"Sep 06, 2017","1,119.53","1,123.67","1,126.36","1,117.43","-0.41%"
"Sep 05, 2017","1,124.16","1,122.55","1,128.68","1,117.82","0.20%"
"Sep 04, 2017","1,121.95","1,117.15","1,126.87","1,114.34","0.42%"
"Sep 01, 2017","1,117.27","1,110.09","1,118.71","1,103.39","0.65%"
"Aug 31, 2017","1,110.05","1,101.52","1,112.83","1,095.50","0.80%"
"Aug 30, 2017","1,101.28","1,093.88","1,101.90","1,092.61","0.69%"
"Aug 29, 2017","1,093.76","1,093.29","1,104.98","1,089.12","-0.02%"
"Aug 28, 2017","1,093.98","1,083.44","1,096.57","1,079.84","1.03%"
"Aug 25, 2017","1,082.82","1,090.11","1,094.50","1,081.31","-0.68%"
"Aug 24, 2017","1,090.20","1,092.41","1,093.65","1,087.96","-0.26%"
"Aug 23, 2017","1,093.05","1,092.68","1,096.10","1,090.27","0.07%"
"Aug 22, 2017","1,092.27","1,093.09","1,097.59","1,088.43","-0.13%"
"Aug 21, 2017","1,093.69","1,093.13","1,098.73","1,090.08","0.15%"
"Aug 18, 2017","1,092.08","1,098.69","1,107.65","1,091.88","-0.59%"
"Aug 17, 2017","1,098.61","1,090.07","1,101.74","1,089.44","0.75%"
"Aug 16, 2017","1,090.42","1,083.73","1,091.04","1,080.33","0.59%"
"Aug 15, 2017","1,084.05","1,088.81","1,089.45","1,080.89","-0.39%"
"Aug 14, 2017","1,088.24","1,091.55","1,091.55","1,084.07","-0.22%"
"Aug 11, 2017","1,090.65","1,092.83","1,097.12","1,084.83","-0.22%"
"Aug 10, 2017","1,093.06","1,086.45","1,098.92","1,083.71","0.61%"
"Aug 09, 2017","1,086.44","1,072.97","1,088.88","1,072.15","1.29%"
"Aug 08, 2017","1,072.62","1,066.22","1,074.04","1,065.30","0.60%"
"Aug 07, 2017","1,066.25","1,069.24","1,069.58","1,064.00","-0.28%"
"Aug 04, 2017","1,069.29","1,069.01","1,072.02","1,064.94","0.05%"
"Aug 03, 2017","1,068.79","1,068.38","1,071.14","1,062.01","0.05%"
"Aug 02, 2017","1,068.30","1,075.29","1,076.55","1,067.59","-0.65%"
"Aug 01, 2017","1,075.33","1,072.03","1,079.92","1,070.28","0.30%"
"Jul 31, 2017","1,072.07","1,081.22","1,082.75","1,071.76","-0.74%"
"Jul 28, 2017","1,080.03","1,078.14","1,081.37","1,073.80","0.16%"
"Jul 27, 2017","1,078.28","1,074.79","1,081.47","1,072.82","0.33%"
"Jul 26, 2017","1,074.74","1,072.42","1,076.74","1,069.31","0.26%"
"Jul 25, 2017","1,071.91","1,078.07","1,080.07","1,069.29","-0.58%"
"Jul 24, 2017","1,078.20","1,076.34","1,081.34","1,073.94","0.20%"
"Jul 21, 2017","1,076.01","1,069.98","1,076.39","1,068.07","0.54%"
"Jul 20, 2017","1,070.24","1,077.84","1,080.03","1,067.53","-0.70%"
"Jul 19, 2017","1,077.77","1,075.27","1,079.61","1,072.36","0.23%"
"Jul 18, 2017","1,075.26","1,075.29","1,077.38","1,069.80","-0.00%"
"Jul 17, 2017","1,075.29","1,071.89","1,078.41","1,070.67","0.35%"
"Jul 14, 2017","1,071.57","1,068.39","1,076.20","1,065.63","0.30%"
"Jul 13, 2017","1,068.35","1,069.38","1,075.55","1,066.65","-0.08%"
"Jul 12, 2017","1,069.24","1,061.93","1,072.38","1,060.43","0.72%"
"Jul 11, 2017","1,061.64","1,065.30","1,066.57","1,057.88","-0.34%"
"Jul 10, 2017","1,065.26","1,064.91","1,067.30","1,056.63","0.13%"
"Jul 07, 2017","1,063.86","1,072.28","1,073.68","1,059.51","-0.81%"
"Jul 06, 2017","1,072.53","1,080.82","1,083.01","1,070.90","-0.77%"
"Jul 05, 2017","1,080.82","1,078.88","1,081.89","1,075.38","0.19%"
"Jul 04, 2017","1,078.82","1,074.16","1,081.14","1,073.85","0.46%"
"Jul 03, 2017","1,073.92","1,086.90","1,088.15","1,072.21","-1.17%"
"Jun 30, 2017","1,086.65","1,089.02","1,093.07","1,086.10","-0.20%"
"Jun 29, 2017","1,088.87","1,097.68","1,099.84","1,086.58","-0.82%"
"Jun 28, 2017","1,097.83","1,100.27","1,110.89","1,096.51","-0.18%"
"Jun 27, 2017","1,099.83","1,112.57","1,119.66","1,099.09","-1.18%"
"Jun 26, 2017","1,112.95","1,122.08","1,124.48","1,105.96","-0.88%"
"Jun 23, 2017","1,122.84","1,121.18","1,127.37","1,120.15","0.13%"
"Jun 22, 2017","1,121.33","1,116.04","1,124.05","1,115.33","0.46%"
"Jun 21, 2017","1,116.17","1,116.67","1,120.57","1,113.33","-0.03%"
"Jun 20, 2017","1,116.53","1,115.39","1,119.85","1,113.89","0.11%"
"Jun 19, 2017","1,115.31","1,119.28","1,121.19","1,114.93","-0.38%"
"Jun 16, 2017","1,119.56","1,125.03","1,126.21","1,118.82","-0.50%"
"Jun 15, 2017","1,125.17","1,124.51","1,129.63","1,122.38","0.06%"
"Jun 14, 2017","1,124.51","1,129.56","1,135.70","1,120.77","-0.45%"
"Jun 13, 2017","1,129.62","1,129.39","1,133.08","1,123.87","-0.02%"
"Jun 12, 2017","1,129.83","1,131.52","1,134.36","1,127.21","-0.14%"
"Jun 09, 2017","1,131.39","1,139.48","1,145.15","1,130.86","-0.79%"
"Jun 08, 2017","1,140.36","1,144.34","1,147.25","1,135.23","-0.27%"
"Jun 07, 2017","1,143.43","1,147.62","1,152.39","1,139.65","-0.35%"
"Jun 06, 2017","1,147.46","1,137.15","1,150.74","1,136.28","0.91%"
"Jun 05, 2017","1,137.14","1,134.88","1,141.40","1,133.83","0.23%"
"Jun 02, 2017","1,134.54","1,128.85","1,134.63","1,122.51","0.51%"
"Jun 01, 2017","1,128.73","1,128.03","1,132.27","1,124.52","0.04%"
"May 31, 2017","1,128.29","1,129.33","1,135.03","1,125.61","-0.08%"
"May 30, 2017","1,129.17","1,134.58","1,142.29","1,127.29","-0.50%"
"May 29, 2017","1,134.88","1,133.31","1,136.05","1,131.60","0.16%"
"May 26, 2017","1,133.10","1,120.11","1,136.35","1,117.45","1.15%"
"May 25, 2017","1,120.21","1,121.82","1,123.40","1,117.86","-0.13%"
"May 24, 2017","1,121.71","1,118.89","1,122.82","1,116.45","0.26%"
"May 23, 2017","1,118.76","1,121.56","1,125.12","1,118.32","-0.26%"
"May 22, 2017","1,121.65","1,120.59","1,125.07","1,117.14","0.12%"
"May 19, 2017","1,120.33","1,123.15","1,126.83","1,117.14","-0.25%"
"May 18, 2017","1,123.17","1,129.81","1,136.65","1,122.19","-0.59%"
"May 17, 2017","1,129.81","1,115.93","1,131.84","1,114.99","1.24%"
"May 16, 2017","1,115.99","1,121.13","1,124.78","1,114.03","-0.46%"
"May 15, 2017","1,121.18","1,124.48","1,127.74","1,120.49","-0.27%"
"May 12, 2017","1,124.17","1,127.84","1,132.81","1,123.24","-0.31%"
"May 11, 2017","1,127.70","1,121.66","1,129.65","1,120.40","0.53%"
"May 10, 2017","1,121.78","1,123.11","1,128.51","1,120.03","-0.12%"
"May 09, 2017","1,123.13","1,122.48","1,126.62","1,116.21","0.05%"
"May 08, 2017","1,122.58","1,116.45","1,130.39","1,112.95","0.56%"
"May 05, 2017","1,116.38","1,117.09","1,127.62","1,115.68","-0.12%"
"May 04, 2017","1,117.72","1,137.38","1,140.33","1,116.67","-1.74%"
"May 03, 2017","1,137.47","1,150.47","1,150.89","1,135.36","-1.09%"
"May 02, 2017","1,149.95","1,153.21","1,153.39","1,147.17","-0.27%"
"May 01, 2017","1,153.11","1,162.23","1,166.04","1,149.75","-0.92%"
"Apr 28, 2017","1,163.76","1,162.37","1,165.69","1,157.00","0.06%"
"Apr 27, 2017","1,163.07","1,164.31","1,167.05","1,155.88","-0.07%"
"Apr 26, 2017","1,163.89","1,156.50","1,165.36","1,152.87","0.63%"
"Apr 25, 2017","1,156.65","1,173.80","1,176.81","1,152.44","-1.44%"
"Apr 24, 2017","1,173.49","1,175.34","1,180.20","1,163.13","-1.99%"
"Apr 21, 2017","1,197.33","1,196.07","1,205.04","1,191.83","0.11%"
"Apr 20, 2017","1,196.04","1,194.00","1,196.54","1,185.73","0.11%"
"Apr 19, 2017","1,194.71","1,201.91","1,203.76","1,191.63","-0.59%"
"Apr 18, 2017","1,201.80","1,207.30","1,208.76","1,197.16","-0.44%"
"Apr 17, 2017","1,207.12","1,211.37","1,221.90","1,204.62","-0.37%"
"Apr 14, 2017","1,211.60","1,213.42","1,214.94","1,208.86","-0.14%"
"Apr 13, 2017","1,213.25","1,206.14","1,214.43","1,202.98","0.58%"
"Apr 12, 2017","1,206.27","1,201.98","1,207.05","1,198.53","0.35%"
"Apr 11, 2017","1,202.02","1,183.86","1,202.55","1,183.29","1.51%"
"Apr 10, 2017","1,184.10","1,183.91","1,187.66","1,178.89","-0.05%"
"Apr 07, 2017","1,184.65","1,175.97","1,194.23","1,174.77","0.73%"
"Apr 06, 2017","1,176.01","1,177.80","1,180.35","1,172.90","-0.12%"
"Apr 05, 2017","1,177.47","1,176.28","1,177.84","1,166.57","0.04%"
"Apr 04, 2017","1,176.95","1,174.82","1,184.94","1,174.61","0.18%"
"Apr 03, 2017","1,174.83","1,171.54","1,177.57","1,166.05","0.19%"
"Mar 31, 2017","1,172.56","1,164.91","1,172.81","1,160.90","0.68%"
"Mar 30, 2017","1,164.68","1,163.26","1,166.70","1,160.28","0.12%"
